date,Strategy,SP500,Strategy_CumPnL,SP500_CumPnL
2016-10-21,-0.00062847555292584,-0.0037976507555791406,-0.03896802963468439,0.053174499811398546
2016-10-24,-0.0015069804466008754,-0.0017404206872095873,-0.04047501008128526,0.05143407912418896
2016-10-25,-0.0025820701604748354,-0.0029867768517781723,-0.043057080241760096,0.048447302272410786
2016-10-26,-0.005009138788714756,-0.003108239882983921,-0.04806621903047485,0.045339062389426865
2016-10-27,0.002951363947981775,-0.00012227181023405365,-0.04511485508249308,0.04521679057919281
2016-10-28,5.930899683672004e-05,-0.006786915316417175,-0.04505554608565636,0.03842987526277564
2016-10-31,0.00957060238429739,-0.00652548633341532,-0.03548494370135897,0.03190438892936032
2016-11-01,-0.00482315154408068,-0.0044233867508127744,-0.04030809524543965,0.027481002178547542
2016-11-02,0.003770777169217745,-0.0016661400132141901,-0.0365373180762219,0.025814862165333352
2016-11-03,-1.4784402420584322e-05,0.022223501088635134,-0.03655210247864249,0.048038363253968486
2016-11-04,0.0024201184615833603,0.003771956162738288,-0.03413198401705913,0.051810319416706774
2016-11-07,-0.01756517023002153,0.011077043878180648,-0.05169715424708066,0.06288736329488742
2016-11-08,-0.00869264237526781,0.0019507595018628532,-0.06038979662234847,0.06483812279675027
2016-11-09,-0.0029153297224518695,-0.0013979367745031723,-0.06330512634480033,0.0634401860222471
2016-11-10,-0.016607078318243616,-0.00011550278361704969,-0.07991220466304394,0.06332468323863005
2016-11-11,0.013358653839003316,0.007480824323075508,-0.06655355082404063,0.07080550756170556
2016-11-14,0.008963377862667455,-0.0015822857378724464,-0.05759017296137318,0.06922322182383311
2016-11-15,-0.0011728874745993503,0.004676288735564471,-0.05876306043597253,0.07389951055939759
2016-11-16,-0.000849511884149635,-0.002386700318226631,-0.05961257232012216,0.07151281024117095
2016-11-17,0.004448138974180715,0.007461386864659136,-0.05516443334594145,0.07897419710583009
2016-11-18,0.004955050491525415,0.0021654277629676866,-0.050209382854416035,0.08113962486879778
2016-11-21,-0.005693378168862055,0.0008080111124224576,-0.05590276102327809,0.08194763598122023
2016-11-22,0.0007016598885964001,0.003914329257229898,-0.05520110113468169,0.08586196523845013
2016-11-23,0.006062316196255656,-0.005254478505433036,-0.049138784938426036,0.0806074867330171
2016-11-25,0.00042292074937964506,0.00133531965917566,-0.048715864189046394,0.08194280639219276
2016-11-28,0.0037274389263677403,-0.0026534703763845258,-0.044988425262678655,0.07928933601580823
2016-11-29,-0.0019968408241266,-0.0035155379500729778,-0.046985266086805255,0.07577379806573525
2016-11-30,0.0017956364347285103,0.0003970644613615626,-0.04518962965207674,0.07617086252709682
2016-12-01,0.00412402770870482,0.005821300668354734,-0.04106560194337192,0.08199216319545155
2016-12-02,-0.0026412264157982253,0.0034108794353906458,-0.04370682835917015,0.0854030426308422
2016-12-05,-0.005106993054574261,0.013163188276083426,-0.04881382141374441,0.09856623090692562
2016-12-06,0.0020526479642197955,0.002159412853860454,-0.046761173449524615,0.10072564376078608
2016-12-07,0.002306555492995865,0.005938945503274562,-0.04445461795652875,0.10666458926406064
2016-12-08,0.0028017406653018453,-0.0011374046815045835,-0.0416528772912269,0.10552718458255606
2016-12-09,0.0013401257153708502,0.006539770310506121,-0.04031275157585605,0.11206695489306218
2016-12-12,0.004616176601430535,-0.008117197541950394,-0.035696574974425514,0.10394975735111178
2016-12-13,0.0013173813860927449,0.003883228005396644,-0.03437919358833277,0.10783298535650843
2016-12-14,-0.00047424904397408505,-0.0017506399119374683,-0.03485344263230685,0.10608234544457096
2016-12-15,-0.0006397646889610898,0.001975138060378967,-0.03549320732126794,0.10805748350494992
2016-12-16,-0.00020972648106112456,0.0036375208284531446,-0.035702933802329063,0.11169500433340307
2016-12-19,0.0013730215887977498,-0.002457327062305281,-0.034329912213531315,0.10923767727109779
2016-12-20,-0.009690081093014877,-0.00186298660592088,-0.04401999330654619,0.10737469066517691
2016-12-21,-0.00035319880085866583,0.0012516807020026555,-0.044373192107404855,0.10862637136717956
2016-12-22,-0.0033897365807588455,0.002248441772426002,-0.0477629286881637,0.11087481313960557
2016-12-23,0.0011181583527379753,-0.00835654596100277,-0.04664477033542573,0.1025182671786028
